Uid,I Want To,Tags,Id
U11,Enroll to training courses,Training,1000073
U1,Find an expert,"Expert, Knoweldge",1000084
U4,Find out more about policies,Policies,1000080
U12,"Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U31,Find the Phone Number of a Colleague,,1000019
U25,Find Vendor Contact Information,,1000026
U6,Get more great ideas for Use Cases,,1000078
U52,Have I reached my sales goal yet,,
U46,How many days of leave do I have left,,
U46,How many hours of PTO do I have left,,
U54,How much budget of my <team's> <department's> budget is left,,
U52,How much do I need to reach my sales goal,,
U67,How much stock of <product>4711</product> do we have,,
U49,I have issues with IT <update> <device> <login>,,
U37,I need facility management,,
U45,I need to reach a collegue,,
U4,I want to  Find out more about policies,Policies,1000080
U2,I want to  Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U14,I want to Access supervisor resources and training materials,"Training, Resources,",1000070
U43,I want to book a ....,,
U5,I want to Browse corporate news,News,1000079
U30,I want to Change My Password,,1000021
U19,I want to Change my personal details the company holds from me,"Information, Contact, Details,",1000065
U66,I want to convert my 401k to a Roth 401k,,
U11,I want to Enroll to training courses,Training,1000073
U1,I want to Find an expert,"Expert, Knoweldge",1000084
U12,"I want to Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U31,I want to Find the Phone Number of a Colleague,,1000019
U25,I want to Find Vendor Contact Information,,1000026
U6,I want to Get more great ideas for Use Cases,,1000078
U20,I want to Look up an account or customer reference number,"Customer, Account,",1000064
U43,I want to make a reservation,,
U17,I want to Manage Leave Requests,"Leave, Request, Off time,",1000067
U9,I want to Manage online user bios and CVs,,1000075
U39,I want to order lunch/beverages for meeting XX,,
U36,I want to order office supply,,
U27,I want to Plan a Business Trip,"travel, expenses",1000024
U56,I want to report an incident ,,
U16,I want to Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U23,I want to Report an IT Problem,"help, windows, ticket, case",1000028
U21,I want to Request a telephone,Telephone,1000063
U22,I want to Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U7,I want to Request my department to provide complimentary ice cream :-),,1000077
U41,I want to request PTO,,
U33,I want to Request Time Off,"pto, xto",1000017
U26,I want to Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U32,I want to Reserve a Meeting Room,"Meeting, Meeting Room, Conference",1000018
U51,I want to see a customer contract,,
U42,I want to see my expense report,,
U10,I want to See my health plan care options,,1000074
U44,I want to see my open support cases,,
U15,I want to See my today's tasks,Tasks,1000069
U8,I want to See the best ideas in the virtual suggestion box,,1000076
U3,I want to Speak to a technician,"Support, Technical, Assistance",1000081
U28,I want to Submit an Idea,,1000023
U50,I want to submit my expense report,,
U13,I want to Suggest a colleague to get an award,Award,1000071
U41,I want to take PTO,,
U29,I want to Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
U24,I want to View Customer Contracts,,1000027
U18,I want to View the company’s or a division’s organizational chart,,1000066
U14,I would like to Access supervisor resources and training materials,"Training, Resources,",1000070
U43,I would like to book a ...,,
U5,I would like to Browse corporate news,News,1000079
U30,I would like to Change My Password,,1000021
U19,I would like to Change my personal details the company holds from me,"Information, Contact, Details,",1000065
U11,I would like to Enroll to training courses,Training,1000073
U1,I would like to Find an expert,"Expert, Knoweldge",1000084
U4,I would like to Find out more about policies,Policies,1000080
U12,"I would like to Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U31,I would like to Find the Phone Number of a Colleague,,1000019
U25,I would like to Find Vendor Contact Information,,1000026
U6,I would like to Get more great ideas for Use Cases,,1000078
U20,I would like to Look up an account or customer reference number,"Customer, Account,",1000064
U17,I would like to Manage Leave Requests,"Leave, Request, Off time,",1000067
U9,I would like to Manage online user bios and CVs,,1000075
U27,I would like to Plan a Business Trip,"travel, expenses",1000024
U16,I would like to Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U23,I would like to Report an IT Problem,"help, windows, ticket, case",1000028
U21,I would like to Request a telephone,Telephone,1000063
U22,I would like to Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U7,I would like to Request my department to provide complimentary ice cream :-),,1000077
U33,I would like to Request Time Off,"pto, xto",1000017
U26,I would like to Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U43,I would like to reserve a ...,,
U32,I would like to Reserve a Meeting Room,"Meeting, Meeting Room, Conference",1000018
U10,I would like to See my health plan care options,,1000074
U15,I would like to See my today's tasks,Tasks,1000069
U8,I would like to See the best ideas in the virtual suggestion box,,1000076
U3,I would like to Speak to a technician,"Support, Technical, Assistance",1000081
U28,I would like to Submit an Idea,,1000023
U13,I would like to Suggest a colleague to get an award,Award,1000071
U29,I would like to Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
