Uid,I Want To,Tags,Id
U1,Find an expert,"Expert, Knoweldge",1000084
U1,I want to Find an expert,"Expert, Knoweldge",1000084
U1,I would like to Find an expert,"Expert, Knoweldge",1000084
U10,I want to See my health plan care options,,1000074
U10,I would like to See my health plan care options,,1000074
U10,See my health plan care options,,1000074
U11,Enroll to training courses,Training,1000073
U11,I want to Enroll to training courses,Training,1000073
U11,I would like to Enroll to training courses,Training,1000073
U12,"Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U12,"I want to Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U12,"I would like to Find the most current Employment Application form, and instructions","Recruitment, Job, Promotion",1000072
U13,I want to Suggest a colleague to get an award,Award,1000071
U13,I would like to Suggest a colleague to get an award,Award,1000071
U13,Suggest a colleague to get an award,Award,1000071
U14,Access supervisor resources and training materials,"Training, Resources,",1000070
U14,I want to Access supervisor resources and training materials,"Training, Resources,",1000070
U14,I would like to Access supervisor resources and training materials,"Training, Resources,",1000070
U15,I want to See my today's tasks,Tasks,1000069
U15,I would like to See my today's tasks,Tasks,1000069
U15,See my today's tasks,Tasks,1000069
U16,I want to Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U16,I would like to Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U16,Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U17,I want to Manage Leave Requests,"Leave, Request, Off time,",1000067
U17,I would like to Manage Leave Requests,"Leave, Request, Off time,",1000067
U17,Manage Leave Requests,"Leave, Request, Off time,",1000067
U18,I want to View the company’s or a division’s organizational chart,,1000066
U18,I would like to View the company’s or a division’s organizational chart,,1000066
U18,View the company’s or a division’s organizational chart,,1000066
U19,Change my personal details the company holds from me,"Information, Contact, Details,",1000065
U19,I want to Change my personal details the company holds from me,"Information, Contact, Details,",1000065
U19,I would like to Change my personal details the company holds from me,"Information, Contact, Details,",1000065
U2,I want to  Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U2,I would like to Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U2,Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U20,I want to Look up an account or customer reference number,"Customer, Account,",1000064
U20,I would like to Look up an account or customer reference number,"Customer, Account,",1000064
U20,Look up an account or customer reference number,"Customer, Account,",1000064
U21,I want to Request a telephone,Telephone,1000063
U21,I would like to Request a telephone,Telephone,1000063
U21,Request a telephone,Telephone,1000063
U22,I want to Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U22,I would like to Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U22,Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U23,I want to Report an IT Problem,"help, windows, ticket, case",1000028
U23,I would like to Report an IT Problem,"help, windows, ticket, case",1000028
U23,Report an IT Problem,"help, windows, ticket, case",1000028
U24,I want to View Customer Contracts,,1000027
U24,I would like to View Customer Contracts,,1000027
U24,View Customer Contracts,,1000027
U25,Find Vendor Contact Information,,1000026
U25,I want to Find Vendor Contact Information,,1000026
U25,I would like to Find Vendor Contact Information,,1000026
U26,I want to Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U26,I would like to Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U26,Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U27,I want to Plan a Business Trip,"travel, expenses",1000024
U27,I would like to Plan a Business Trip,"travel, expenses",1000024
U27,Plan a Business Trip,"travel, expenses",1000024
U28,I want to Submit an Idea,,1000023
U28,I would like to Submit an Idea,,1000023
U28,Submit an Idea,,1000023
U29,I want to Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
U29,I would like to Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
U29,Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
